abscodi,direction,latitude,longitude
028,"Carrer ROGER DE LLURIA 17, 08010 Barcelona",41.3906952,2.1716008
042,"Carrer MUNTANER 356, 08021 Barcelona",41.3987151,2.1435962
017,"Carrer FONOLLAR 26, 08003 Barcelona",41.3872991,2.1789284
024,"Carrer PELAI 9, 08001 Barcelona",41.3859194,2.166553
044,"Via AUGUSTA 276, 08017 Barcelona",41.3979364,2.1308868
018,"Carrer AVINYO 32, 08002 Barcelona",41.380766,2.1775621
039,"Travessera DE LES CORTS 332, 08029 Barcelona",41.3890444,2.1390953
017,"Plaça DE LA LLANA 11, 08003 Barcelona",41.3852213,2.179422
065,"Carrer SAGRERA 146, 08027 Barcelona",41.4250498,2.1911455
031,"Carrer ROSSELLO 437, 08025 Barcelona",41.4057196,2.1734435
395,"Carrer GRAN DE SANT ANDREU 91, 08030 Barcelona",41.4303011,2.1895748
073,"Carrer PALLARS 231, 08005 Barcelona",41.4027973,2.1997101
050,"Avinguda REPUBLICA ARGENTINA 270, 08023 Barcelona",41.4136897,2.1385148
025,"Carrer MUNTANER 223, 08036 Barcelona",41.393759,2.1497877
031,"Carrer CARTAGENA 267, 08025 Barcelona",41.408899,2.1769756
028,"Carrer CASP 146 A, 08013 Barcelona",41.3959212,2.1795954
042,"Carrer MUNTANER 254, 08021 Barcelona",41.3950891,2.148671100000001
043,"Ronda GENERAL MITRE 230, 08006 Barcelona",41.4056511,2.1483721
071,"Carrer LLULL 102, 08005 Barcelona",41.3962234,2.1958788
038,"Avinguda DE MADRID 222, 08014 Barcelona",41.3815058,2.135324
023,"Carrer PARIS 111, 08029 Barcelona",41.389651,2.147751
016,"Carrer ANDREA DORIA 14, 08003 Barcelona",41.3802361,2.1904648
027,"Carrer CONSELL DE CENT 312, 08007 Barcelona",41.3915865,2.1665054
016,"Carrer MAQUINISTA 9, 08003 Barcelona",41.3806741,2.1882459
025,"Carrer ROSSELLO 215, 08008 Barcelona",41.3931437,2.1568044
021,"Carrer CALABRIA 61, 08015 Barcelona",41.3778192,2.1572074
075,"Carrer ROGENT 54, 08026 Barcelona",41.4096983,2.1843477
036,"Carrer DE SANTS 32-34, 08014 Barcelona",41.3754896,2.1394043
036,"Carrer SAGUNT 83, 08014 Barcelona",41.3722113,2.1352327
072,"Carrer DOCTOR TRUETA 234, 08005 Barcelona",41.3992616,2.2046292
027,"Carrer ROGER DE LLURIA 123, 08037 Barcelona",41.3967521,2.1638384
048,"Travessera DE GRACIA 194, 08012 Barcelona",41.4026815,2.1602776
047,"Carrer SANT ANTONI MARIA CLARET 40, 08025 Barcelona",41.4046364,2.1658059
056,"Baixada MERCAT 2, 08032 Barcelona",41.4299645,2.1606496
020,"Carrer HOSPITAL 42, 08001 Barcelona",41.3808591,2.1714956
018,"Carrer BANYS NOUS 14, 08002 Barcelona",41.3825334,2.1749362
067,"Carrer SANT ANTONI MARIA CLARET 460, 08027 Barcelona",41.4196143,2.1859637
018,"Carrer FERRAN 7, 08002 Barcelona",41.3807076,2.174551
022,"Carrer ARAGO 97, 08015 Barcelona",41.3821567,2.1512211
023,"Carrer COMTE D'URGELL 153, 08036 Barcelona",41.3873204,2.1512594
017,"Carrer CARDERS 3, 08003 Barcelona",41.3858957,2.1798582
069,"Carrer SANT ADRIA 131, 08030 Barcelona",41.4363539,2.2055648
047,"Travessera DE GRACIA 333, 08025 Barcelona",41.4070849,2.1667283
395,"Plaça DE LES PALMERES 9, 08030 Barcelona",41.43278129999999,2.1856149
396,"Carrer PALOMAR 28, 08030 Barcelona",41.4419866,2.1896726
029,"Carrer ARAGO 476, 08013 Barcelona",41.4036672,2.1803539
070,"Carrer TORNE 12, 08033 Barcelona",41.4489473,2.1910104
071,"Carrer SARDENYA 61, 08018 Barcelona",41.3924663,2.1875487
019,"Carrer SANT PAU 112, 08001 Barcelona",41.3764419,2.1691245
035,"Carrer SANT ROC 26, 08014 Barcelona",41.3747385,2.1454239
072,"Passeig GARCIA FARIA 25, 08005 Barcelona",41.4014883,2.2107471
030,"Carrer DIPUTACIO 391-395, 08013 Barcelona",41.3974377,2.1761623
056,"Carrer FULTON 18, 08031 Barcelona",41.4301825,2.1615886
024,"Carrer DIPUTACIO 157, 08011 Barcelona",41.38415579999999,2.1585741
030,"Gran Via DE LES CORTS CATALANES 731, 08013 Barcelona",41.3986302,2.1799567
020,"Ronda SANT ANTONI 12, 08001 Barcelona",41.3793064,2.1634632
077,"Carrer SANT JOAN DE MALTA 43, 08018 Barcelona",41.4089764,2.1923616
042,"Via AUGUSTA 113, 08006 Barcelona",41.4007426,2.1464451
024,"Carrer GRAN VIA DE LES CORTS CATALANES 560, 08011 Barcelona",41.3834692,2.1607944
036,"Carrer SANT MEDIR 12, 08028 Barcelona",41.3747713,2.1328455
032,"Carrer NOU DE LA RAMBLA 147, 08004 Barcelona",41.3727956,2.1679253
028,"Carrer CASP 68, 08010 Barcelona",41.3920068,2.1743933
017,"Plaça SANT AGUSTI VELL 11, 08003 Barcelona",41.3881036,2.1806914
043,"Carrer MUNTANER 393, 08021 Barcelona",41.3996955,2.1419168
020,"Carrer TALLERS 42, 08001 Barcelona",41.3848997,2.1678017
017,"Carrer PRINCESA 7, 08003 Barcelona",41.3844938,2.1792768
022,"Gran Via DE LES CORTS CATALANES 469, 08015 Barcelona",41.3799031,2.1551981
071,"Carrer LLACUNA 100-102, 08018 Barcelona",41.4030314,2.1965917
017,"Plaça COMERCIAL 9, 08003 Barcelona",41.385262,2.1834585
027,"Passeig GRACIA 90, 08008 Barcelona",41.3950779,2.1622823
048,"Carrer LUIS ANTUNEZ 5, 08006 Barcelona",41.3985803,2.1557875
396,"Carrer GRAN DE SANT ANDREU 435, 08030 Barcelona",41.4406267,2.1882646
395,"Carrer GRAN DE SANT ANDREU 260, 08030 Barcelona",41.4351432,2.1898967
025,"Carrer PROVENÇA 156, 08036 Barcelona",41.3878039,2.1526024
028,"Carrer PAU CLARIS 83, 08010 Barcelona",41.3896851,2.1706781
020,"Ronda SANT ANTONI 88, 08001 Barcelona",41.3839351,2.1641469
036,"Carrer SANTS 234, 08028 Barcelona",41.3756436,2.129306
036,"Carrer SANTS 151, 08028 Barcelona",41.3753068,2.132578800000001
021,"Gran Via DE LES CORTS CATALANES 424, 08015 Barcelona",41.3775089,2.152871
046,"Avinguda REPUBLICA ARGENTINA 67, 08023 Barcelona",41.4097675,2.1460729
025,"Carrer ARIBAU 179, 08036 Barcelona",41.393942,2.1518031
071,"Carrer DOCTOR TRUETA 147, 08005 Barcelona",41.3959224,2.1996687
073,"Carrer PERE IV 364-370, 08019 Barcelona",41.4096369,2.2030027
036,"Carrer BURGOS 68, 08014 Barcelona",41.3728846,2.1354298
025,"Carrer VALENCIA 224, 08007 Barcelona",41.3896147,2.1595785
024,"Carrer ARAGO 260, 08007 Barcelona",41.3907427,2.163287
021,"Carrer TAMARIT 89, 08015 Barcelona",41.3754865,2.1564015
038,"Carrer COMTES DE BELL-LLOC 140, 08014 Barcelona",41.38192979999999,2.1365752
077,"Carrer CLOT 114, 08018 Barcelona",41.4093773,2.1890539
036,"Carrer ALCOLEA 73, 08014 Barcelona",41.3775118,2.1360728
071,"Carrer CIUTAT DE GRANADA 81, 08005 Barcelona",41.3996285,2.1961992
048,"Carrer TORRENT DE L'OLLA 67, 08012 Barcelona",41.4008726,2.1587041
024,"Carrer VILLARROEL 53, 08011 Barcelona",41.3826696,2.1599724
030,"Plaça SAGRADA FAMILIA 7, 08013 Barcelona",41.40226,2.17207
048,"Plaça RIUS i TAULET 4, 08012 Barcelona",41.3841423,2.1726373
025,"Carrer COMTE D'URGELL 132, 08011 Barcelona",41.3850392,2.1550043
048,"Carrer GRAN DE GRACIA 166, 08012 Barcelona",41.4024221,2.1528206
048,"Plaça LLIBERTAT 2, 08012 Barcelona",41.39994979999999,2.1538694
396,"Carrer GRAN DE SANT ANDREU 306, 08030 Barcelona",41.4370674,2.1897257
043,"Carrer MUNTANER 510-512, 08022 Barcelona",41.4041539,2.1365843
042,"Carrer MUNTANER 322, 08021 Barcelona",41.3973472,2.1454225
024,"Carrer BALMES 18, 08007 Barcelona",41.3871318,2.1659391
036,"Carrer OLZINELLES 21, 08014 Barcelona",41.3735544,2.1365819
048,"Rambla DE PRAT 23, 08012 Barcelona",41.4011369,2.1516571
028,"Carrer AUSIAS MARC 31, 08010 Barcelona",41.3913313,2.1753492
071,"Avinguda DEL BOGATELL 19-21, 08005 Barcelona",41.3926881,2.1964338
042,"Carrer AMIGO 30, 08021 Barcelona",41.39496219999999,2.1450613
385,"Passeig FABRA I PUIG 210, 08016 Barcelona",41.43039,2.1779697
033,"Avinguda PARAL.LEL 131, 08004 Barcelona",41.3747062,2.1594141
072,"Carrer PUJADES 247, 08005 Barcelona",41.4047475,2.2040893
033,"Plaça SANTA MADRONA 8-9, 08004 Barcelona",41.373678,2.1562833
021,"Carrer PARLAMENT 17, 08015 Barcelona",41.3760124,2.1617718
028,"Ronda SANT PERE 15, 08010 Barcelona",41.3887405,2.1717569
032,"Carrer VILA VILA 57 bis, 08004 Barcelona",41.3736714,2.1701282
056,"Plaça EIVISSA 14, 08031 Barcelona",41.4309431,2.1608528
326,"Carrer SANT ANTONI MARIA CLARET 229, 08041 Barcelona",41.4154519,2.1798408
018,"Carrer JOSEP ANSELM CLAVE 3, 08002 Barcelona",41.3770297,2.1773787
