Passeig SANT GERVASI 24, 08022 Barcelona
Carrer TORRENT DE LES FLORS 45, 08024 Barcelona
Carrer VILLARROEL 201, 08036 Barcelona
Carrer GELABERT 28-30, 08029 Barcelona
Carrer MARC AURELI 42-44, 08006 Barcelona
Carrer DOCTOR SANT PONÇ 103, 08030 Barcelona
Carrer TAQUIGRAF GARRIGA 67, 08029 Barcelona
Ronda GENERAL MITRE 199, 08023 Barcelona
Carrer DANTE ALIGHIERI 66 bis, 08032 Barcelona
Avinguda MARE DE DEU MONTSERRAT 158, 08041 Barcelona
Carrer PERIS MENCHETA 55, 08032 Barcelona
Carrer NAPOLS 4, 08018 Barcelona
Carrer TEODOR LLORENTE 4, 08041 Barcelona
Carrer COPERNIC 47, 08021 Barcelona
Carrer MANDRI 54, 08022 Barcelona
Carrer REINA CRISTINA 1, 08003 Barcelona
Carrer BALLESTER 31, 08023 Barcelona
Carrer FRANCESC PEREZ I CABRERO 11, 08021 Barcelona
Carrer CONSTITUCIO 50, 08014 Barcelona
Carrer CALVET 70, 08021 Barcelona
Carrer GANDUXER 94, 08022 Barcelona
Carrer BERTRAN 129, 08023 Barcelona
Carrer LORETO 48, 08029 Barcelona
Carrer SANT JOAN DE MALTA 111, 08018 Barcelona
Carrer ROVIRA VIRGILI 6, 08030 Barcelona
Carrer AMILCAR 158 BIS, 08032 Barcelona
Carrer MORA D'EBRE 43, 08023 Barcelona
Carrer HORTA 127, 08032 Barcelona
Carrer L'ALZINA 44, 08024 Barcelona
Carrer PROVENÇALS 12, 08019 Barcelona
Carrer TURO DE LA TRINITAT 41, 08033 Barcelona
Carrer VALLES I RIBOT 8, 08027 Barcelona
Passeig TORRAS i BAGES 83, 08030 Barcelona
Carrer SECRETARI COLOMA 92, 08024 Barcelona
Carrer GRAN VIA CORTS CATALANES 347, 08014 Barcelona
Carrer AGUSTI i MILA 38, 08030 Barcelona
Carrer FELIPE DE PAZ 8, 08028 Barcelona
Carrer MELCIOR DE PALAU 153 BIS, 08014 Barcelona
Carrer MANDRI 6, 08022 Barcelona
Carrer CONCEPCIO ARENAL 124, 08027 Barcelona
Carrer GUADIANA 39, 08014 Barcelona
Carrer COMANDANT BENITEZ 30, 08028 Barcelona
Carrer CAPITA ARENES 62, 08034 Barcelona
Carrer GRAN VIA CORTS CATALANES 216, 08004 Barcelona
Carrer DANTE ALIGHIERI 118, 08032 Barcelona
Carrer MASFERRER 16, 08028 Barcelona
Carrer TAQUIGRAF SERRA 3, 08029 Barcelona
Carrer TUSET 34, 08006 Barcelona
Carrer MARE DE DEU DEL PORT 234, 08038 Barcelona
Carrer CARDENAL SENTMENAT 37, 08017 Barcelona
Carrer JORDI GIRONA 2, 08034 Barcelona
Avinguda SANT RAMON NONAT 23, 08028 Barcelona
Carrer SELVA DEL MAR 34, 08019 Barcelona
Carrer BERTRAN 39, 08023 Barcelona
Carretera SARRIA A VALLVIDRERA 82, 08017 Barcelona
Carrer BISMARK 2, 08024 Barcelona
Carrer CALABRIA 242-244, 08029 Barcelona
Carrer CASANOVA 93, 08011 Barcelona
Carrer BERTRAND I SERRA 16, 08022 Barcelona
Carrer VALERO 10, 08021 Barcelona
Carrer SOSTRES 15, 08024 Barcelona
Carrer PALAMOS 58, 08033 Barcelona
Carrer PARDO 17, 08016 Barcelona
Carrer SOVELLES 11, 08038 Barcelona
Carrer FELIU I CODINA 45, 08031 Barcelona
Carrer SANTA ROSALIA 82, 08035 Barcelona
Carrer CONCILI DE TRENTO 194, 08020 Barcelona
Carrer MERCÈ 26, 08002 Barcelona
Carrer SANT ALEXANDRE 37, 08031 Barcelona
Carrer QUARTER DE SIMANCAS 24, 08042 Barcelona
Carrer LLOBREGOS 140, 08032 Barcelona
Carrer CHAFARINAS 12-14, 08033 Barcelona
Carrer RECTOR TRIADO 84, 08014 Barcelona
Carrer JULIOL 27, 08041 Barcelona
Passeig SANTA COLOMA 29-31, 08030 Barcelona
